Название,Цена,Категория,Подкатегория,Описание,Фото (URL),Доступность
Iphone 16e 128GB SIM+eSIM,41 990,Смартфоны,Apple,"6.1” 60 hz SR XDR OLED Display. A18 чип, без ширика и телевика",https://avatars.mds.yandex.net/i?id=743e3abc92b3e6f47853e8af428d9db9_l-12853318-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16e 256GB SIM+eSIM,51 990,Смартфоны,Apple,"6.1” 60 hz SR XDR OLED Display. A18 чип, без ширика и телевика",https://avatars.mds.yandex.net/i?id=743e3abc92b3e6f47853e8af428d9db9_l-12853318-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16e 512GB SIM+eSIM,59 990,Смартфоны,Apple,"6.1” 60 hz SR XDR OLED Display. A18 чип, без ширика и телевика",https://avatars.mds.yandex.net/i?id=743e3abc92b3e6f47853e8af428d9db9_l-12853318-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 128GB SIM+eSIM,49 990,Смартфоны,Apple,"6.1” 60 hz SR XDR OLED Display. A18 чип, без телевика",https://shop.gestore.ru/upload/iblock/3fd/bed9bj240gfqj7n0r04luoskek19hrp0.png,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 256GB SIM+eSIM,56 990,Смартфоны,Apple,"6.1” 60 hz SR XDR OLED Display. A18 чип, без телевика",https://shop.gestore.ru/upload/iblock/3fd/bed9bj240gfqj7n0r04luoskek19hrp0.png,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 512GB SIM+eSIM,87 990,Смартфоны,Apple,"6.1” 60 hz SR XDR OLED Display. A18 чип, без телевика",https://shop.gestore.ru/upload/iblock/3fd/bed9bj240gfqj7n0r04luoskek19hrp0.png,не доступен
Iphone 16 plus 128GB SIM+eSIM,55 990,Смартфоны,Apple,"6.7” 60 hz SR XDR OLED Display. A18 чип, без телевика",https://www.iphones.ru/wp-content/uploads/2024/05/IMG_2755.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 plus 256GB SIM+eSIM,73 990,Смартфоны,Apple,"6.7” 60 hz SR XDR OLED Display. A18 чип, без телевика",https://www.iphones.ru/wp-content/uploads/2024/05/IMG_2755.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 plus 512GB SIM+eSIM,83 990,Смартфоны,Apple,"6.7” 60 hz SR XDR OLED Display. A18 чип, без телевика",https://www.iphones.ru/wp-content/uploads/2024/05/IMG_2755.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 pro 128GB SIM+eSIM,73 990,Смартфоны,Apple,6.3” 120 hz SR XDR OLED Display. A18 pro чип,https://www.yerevanmobile.am/media/magefan_blog/iPhone-16-Pro-Colors-Fanmade3.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
